image,height,width,boxes,relative_boxes,annotations,anno_type,relative_annotations,iou_score,max_iou_score,num_of_annotations,avg_score
"[[[  7  10   8]
  [  4  11   8]
  [  4  17  15]
  ...
  [ 30  33  31]
  [ 19  24  22]
  [ 21  26  24]]

 [[ 50  51  49]
  [ 33  38  36]
  [ 20  31  29]
  ...
  [ 25  32  29]
  [ 45  50  48]
  [ 46  51  49]]

 [[ 33  34  32]
  [ 54  57  55]
  [ 52  60  59]
  ...
  [ 42  53  50]
  [ 66  71  69]
  [ 66  71  69]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",319,450,"[[57.36753463745117, 59.466819763183594, 136.6546630859375, 266.7923583984375], [283.69964599609375, 77.21456909179688, 400.0827941894531, 252.24771118164062], [233.70555114746094, 91.73800659179688, 338.07574462890625, 256.6034240722656], [132.92822265625, 104.21036529541016, 280.2666320800781, 253.4835662841797]]","[[0.12748341030544705, 0.18641636289399247, 0.3036770290798611, 0.8363396814998041], [0.6304436577690973, 0.24205194072663597, 0.8890728759765625, 0.7907451761179957], [0.5193456692165799, 0.2875799579680153, 0.7512794325086806, 0.8043994485024001], [0.2953960503472222, 0.32667826111413845, 0.6228147379557292, 0.7946193300444504]]","[['233', '89', '386', '262'], ['134', '105', '341', '253']]",<class 'list'>,"[[0.5177777777777778, 0.27899686520376177, 0.8577777777777778, 0.8213166144200627], [0.29777777777777775, 0.329153605015674, 0.7577777777777778, 0.7931034482758621]]","[[0.4336344487035141, 0.8587846293119582, 0.9041532348677608, 0.6778212651800067], [0.5652031933624893, 0.6755936023058607, 0.818837831960102, 0.9038446841606901]]","[0.9041532348677608, 0.9038446841606901]",2,0.9039989595142255
"[[[ 98 102 113]
  [108 112 123]
  [ 99 104 113]
  ...
  [139 152 160]
  [129 142 150]
  [103 116 124]]

 [[ 88  92 103]
  [ 85  89 100]
  [ 97 102 111]
  ...
  [135 148 156]
  [130 143 151]
  [112 125 133]]

 [[ 61  65  76]
  [ 88  92 103]
  [104 108 119]
  ...
  [143 155 161]
  [141 153 159]
  [123 135 141]]

 ...

 [[119 124 139]
  [179 184 199]
  [184 189 204]
  ...
  [204 227 249]
  [194 215 236]
  [178 200 218]]

 [[189 195 208]
  [225 231 244]
  [217 223 236]
  ...
  [207 230 252]
  [201 223 241]
  [124 147 163]]

 [[222 226 237]
  [227 231 242]
  [215 221 232]
  ...
  [193 217 237]
  [210 233 249]
  [166 189 204]]]",309,550,"[[157.844482421875, 103.17927551269531, 287.9832763671875, 306.13519287109375], [157.50123596191406, 102.41593933105469, 347.462158203125, 305.0322265625]]","[[0.2869899680397727, 0.33391351298606897, 0.52360595703125, 0.9907287795181028], [0.28636588356711645, 0.331443169356164, 0.6317493785511363, 0.9871593092637541]]","[['156', '114', '240', '309'], ['222', '117', '415', '306']]",<class 'list'>,"[[0.28363636363636363, 0.36893203883495146, 0.43636363636363634, 1.0], [0.4036363636363636, 0.3786407766990291, 0.7545454545454545, 0.9902912621359223]]","[[0.9027008604412259, 0.8282732685039996], [0.7455477926723277, 0.8131655612978614]]","[0.9027008604412259, 0.8131655612978614]",2,0.8579332108695437
"[[[  3   4   2]
  [  3   4   2]
  [  3   4   2]
  ...
  [ 18  47  91]
  [ 19  48  92]
  [ 20  49  93]]

 [[  3   4   2]
  [  3   4   2]
  [  3   4   2]
  ...
  [ 18  47  91]
  [ 19  48  92]
  [ 20  49  93]]

 [[  3   4   2]
  [  3   4   2]
  [  3   4   2]
  ...
  [ 17  46  90]
  [ 19  48  92]
  [ 21  50  94]]

 ...

 [[  8  86  32]
  [ 34 113  56]
  [ 13  89  35]
  ...
  [ 16 101  39]
  [ 20 105  43]
  [ 36 121  59]]

 [[ 39 118  61]
  [ 38 118  59]
  [ 25 102  45]
  ...
  [ 11  94  32]
  [ 40 123  61]
  [ 30 113  51]]

 [[ 22 102  43]
  [  4  84  25]
  [ 14  91  33]
  ...
  [ 14  97  35]
  [ 52 135  73]
  [ 13  96  34]]]",288,460,"[[108.56827545166016, 2.7639784812927246, 325.872802734375, 260.6019287109375]]","[[0.23601799011230468, 0.009597147504488627, 0.708419136379076, 0.9048678080240885]]","[['99', '5', '403', '279']]",<class 'list'>,"[[0.21521739130434783, 0.017361111111111112, 0.8760869565217392, 0.96875]]",[[0.8544883468888879]],[0.8544883468888879],1,0.8544883468888879
"[[[ 65  77  65]
  [ 28  34  23]
  [ 54  52  44]
  ...
  [  0  42  29]
  [  9  48  33]
  [ 27  66  51]]

 [[ 18  41  27]
  [ 42  58  47]
  [ 64  72  62]
  ...
  [  0  47  27]
  [ 38  79  64]
  [ 29  70  55]]

 [[  1  34  20]
  [ 16  41  31]
  [ 51  68  59]
  ...
  [ 38  70  53]
  [ 55  85  74]
  [ 32  62  51]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",319,450,"[[303.1612854003906, 27.45665168762207, 438.8299865722656, 295.8472900390625], [137.28648376464844, 78.19097900390625, 317.8697814941406, 208.286865234375], [319.53643798828125, 97.1416244506836, 422.5328369140625, 203.41763305664062]]","[[0.6736917453342014, 0.08607100842514756, 0.9751777479383681, 0.9274209719092869], [0.3050810750325521, 0.2451127868461011, 0.7063772922092014, 0.6529368816124608], [0.7100809733072917, 0.30451919890496426, 0.9389618598090278, 0.63767283089856]]","[['15', '71', '316', '233']]",<class 'list'>,"[[0.03333333333333333, 0.2225705329153605, 0.7022222222222222, 0.7304075235109718]]","[[0.461283307066535, 0.7798273791348691, 0.4670431158327651]]",[0.7798273791348691],1,0.7798273791348691
"[[[109  95  97]
  [108  94  96]
  [108  94  96]
  ...
  [110  95  92]
  [111  96  93]
  [111  96  93]]

 [[109  95  97]
  [109  95  97]
  [108  94  96]
  ...
  [110  95  92]
  [110  95  92]
  [111  96  93]]

 [[109  95  97]
  [108  94  96]
  [108  94  96]
  ...
  [110  95  92]
  [110  95  92]
  [111  96  93]]

 ...

 [[129 132 130]
  [131 134 132]
  [133 136 134]
  ...
  [ 79 124 115]
  [ 88 133 124]
  [ 91 138 129]]

 [[132 135 133]
  [133 136 134]
  [132 135 133]
  ...
  [ 79 124 115]
  [ 91 136 127]
  [ 97 144 135]]

 [[135 138 136]
  [134 137 135]
  [132 135 133]
  ...
  [ 78 123 114]
  [ 95 140 131]
  [102 149 140]]]",615,1000,"[[520.7107543945312, 216.77249145507812, 782.5338745117188, 465.0509033203125]]","[[0.5207107543945313, 0.3524755958619156, 0.7825338745117187, 0.7561803306021342]]","[['508', '213', '843', '466']]",<class 'list'>,"[[0.508, 0.3463414634146341, 0.843, 0.7577235772357723]]",[[0.9400444080753901]],[0.9400444080753901],1,0.9400444080753901
"[[[ 45  52  61]
  [ 44  51  60]
  [ 43  50  59]
  ...
  [ 45  52  61]
  [ 43  50  59]
  [ 42  49  58]]

 [[ 48  55  64]
  [ 47  54  63]
  [ 45  52  61]
  ...
  [ 46  53  62]
  [ 44  51  60]
  [ 43  50  59]]

 [[ 53  60  69]
  [ 51  58  67]
  [ 49  56  65]
  ...
  [ 47  54  63]
  [ 46  53  62]
  [ 45  52  61]]

 ...

 [[ 45  62  59]
  [ 54  71  68]
  [ 68  85  82]
  ...
  [ 91 155 155]
  [ 91 155 155]
  [ 91 155 155]]

 [[146 142 153]
  [128 124 135]
  [105 101 112]
  ...
  [100 164 164]
  [ 98 162 162]
  [ 97 161 161]]

 [[146 142 153]
  [128 124 135]
  [105 101 112]
  ...
  [100 164 164]
  [ 98 162 162]
  [ 97 161 161]]]",426,640,"[[89.2861328125, 305.71588134765625, 218.296875, 399.16754150390625]]","[[0.13950958251953124, 0.7176429139616344, 0.3410888671875, 0.937013008225132]]","[['186', '173', '366', '422'], ['86', '307', '226', '385']]",<class 'list'>,"[[0.290625, 0.4061032863849765, 0.571875, 0.9906103286384976], [0.134375, 0.7206572769953051, 0.353125, 0.903755868544601]]","[[0.5784390321146375], [0.9569852558967674]]","[0.5784390321146375, 0.9569852558967674]",2,0.7677121440057024
"[[[108 158 140]
  [101 151 133]
  [ 92 139 123]
  ...
  [ 75 152 124]
  [ 75 152 124]
  [ 74 151 123]]

 [[112 160 142]
  [106 154 136]
  [ 94 141 125]
  ...
  [ 78 158 129]
  [ 82 159 131]
  [ 79 159 130]]

 [[113 158 142]
  [116 161 145]
  [114 159 143]
  ...
  [ 86 168 139]
  [ 90 170 141]
  [ 86 168 139]]

 ...

 [[ 50  81  82]
  [ 91 122 123]
  [144 174 175]
  ...
  [ 80 130 128]
  [ 79 129 127]
  [ 82 132 130]]

 [[ 71 102 105]
  [103 132 136]
  [151 178 182]
  ...
  [ 52 102 100]
  [ 54 104 102]
  [ 56 106 104]]

 [[ 93 122 127]
  [ 96 125 130]
  [130 156 162]
  ...
  [ 49 102  99]
  [ 43  96  93]
  [ 43  96  93]]]",357,634,"[[185.06103515625, 27.58297348022461, 602.8477172851562, 301.1226806640625], [183.78756713867188, 29.387052536010742, 351.89923095703125, 299.88543701171875]]","[[0.29189437721805994, 0.07726323103704372, 0.9508639073898364, 0.8434808982186625], [0.28988575258465593, 0.08231667377033822, 0.5550461056104594, 0.8400152297247023]]","[['273', '24', '603', '301']]",<class 'list'>,"[[0.4305993690851735, 0.06722689075630252, 0.9511041009463722, 0.8431372549019608]]","[[0.9113343220765024, 0.670521849244143]]",[0.9113343220765024],1,0.9113343220765024
"[[[251 252 250]
  [251 252 250]
  [251 252 250]
  ...
  [213 218 203]
  [187 200 176]
  [117 138 113]]

 [[251 252 250]
  [251 252 250]
  [251 252 250]
  ...
  [202 208 191]
  [165 178 154]
  [ 96 117  92]]

 [[251 252 250]
  [251 252 250]
  [251 252 250]
  ...
  [204 210 191]
  [167 180 156]
  [ 99 119  96]]

 ...

 [[ 69 134 102]
  [ 75 145 115]
  [ 63 139 108]
  ...
  [ 65 132  95]
  [ 68 135  98]
  [ 75 142 105]]

 [[ 77 136 108]
  [ 80 144 122]
  [ 65 134 121]
  ...
  [ 67 136  99]
  [ 73 142 105]
  [ 75 144 107]]

 [[ 40  99  71]
  [ 63 130 101]
  [ 75 144 124]
  ...
  [ 70 140 104]
  [ 79 149 113]
  [ 70 143 105]]]",399,510,"[[231.70384216308594, 68.4206314086914, 479.8854675292969, 349.0536804199219], [36.85899353027344, 139.13272094726562, 226.7757110595703, 344.2547912597656]]","[[0.45432125914330573, 0.17148027921977796, 0.9409518971162684, 0.8748212541852679], [0.07227253633386949, 0.34870356127134244, 0.44465825697954964, 0.8627939630570567]]","[['43', '135', '237', '348']]",<class 'list'>,"[[0.08431372549019608, 0.3383458646616541, 0.4647058823529412, 0.8721804511278195]]","[[0.49996072752109977, 0.9644864400774439]]",[0.9644864400774439],1,0.9644864400774439
"[[[ 87 106 119]
  [ 86 105 118]
  [ 85 104 117]
  ...
  [ 47  69  67]
  [ 47  68  70]
  [ 47  67  72]]

 [[ 87 106 119]
  [ 89 108 121]
  [ 91 110 123]
  ...
  [ 46  68  66]
  [ 47  68  70]
  [ 47  67  72]]

 [[ 86 105 118]
  [ 91 110 123]
  [ 96 115 128]
  ...
  [ 46  67  65]
  [ 48  67  70]
  [ 49  68  73]]

 ...

 [[154 177 199]
  [154 177 199]
  [155 178 200]
  ...
  [171 195 215]
  [171 190 211]
  [172 189 210]]

 [[154 177 199]
  [156 179 201]
  [154 177 199]
  ...
  [165 189 209]
  [167 186 207]
  [171 185 207]]

 [[153 176 198]
  [151 174 196]
  [142 165 187]
  ...
  [156 180 202]
  [161 179 202]
  [165 179 202]]]",600,900,"[[105.38236236572266, 122.18683624267578, 660.4117431640625, 565.2036743164062], [464.5999755859375, 25.689157485961914, 803.7263793945312, 240.6963653564453], [0.0, 123.570556640625, 105.62921905517578, 589.3390502929688]]","[[0.11709151373969184, 0.2036447270711263, 0.7337908257378473, 0.9420061238606771], [0.5162221950954861, 0.04281526247660319, 0.8930293104383681, 0.40116060892740885], [0.0, 0.205950927734375, 0.11736579895019532, 0.9822317504882813]]","[['9', '116', '653', '600'], ['52', '74', '540', '569'], ['1', '125', '121', '599']]",<class 'list'>,"[[0.01, 0.19333333333333333, 0.7255555555555555, 1.0], [0.057777777777777775, 0.12333333333333334, 0.6, 0.9483333333333334], [0.0011111111111111111, 0.20833333333333334, 0.13444444444444445, 0.9983333333333333]]","[[0.8979812710603984, 0.41626854269894725, 0.6310126812808945], [0.845985851947773, 0.41967939589273867, 0.6251753598987642], [0.5735203730001087, 0.23326030628784358, 0.9738468165923018]]","[0.8979812710603984, 0.845985851947773, 0.9738468165923018]",3,0.9059379798668243
"[[[105 127 108]
  [ 77  99  80]
  [ 66  86  67]
  ...
  [ 81 117 103]
  [ 82 114 103]
  [ 86 118 107]]

 [[ 59  85  62]
  [ 93 116  94]
  [ 98 121  99]
  ...
  [ 53  81  75]
  [ 85 108 103]
  [ 99 122 118]]

 [[ 72 101  75]
  [ 62  89  63]
  [ 82 109  83]
  ...
  [ 84 105 102]
  [ 75  94  91]
  [ 82  98  97]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",447,640,"[[397.36444091796875, 86.21601867675781, 584.9342041015625, 304.45123291015625], [9.110443115234375, 107.63209533691406, 412.2483825683594, 327.4178466796875]]","[[0.6208819389343262, 0.1928769992768631, 0.9139596939086914, 0.6810989550562779], [0.01423506736755371, 0.24078768531748113, 0.6441380977630615, 0.7324784042051175]]","[['7', '116', '410', '331']]",<class 'list'>,"[[0.0109375, 0.2595078299776286, 0.640625, 0.7404921700223713]]","[[0.5019119891213732, 0.9781139789464971]]",[0.9781139789464971],1,0.9781139789464971
