image,height,width,boxes,relative_boxes,annotations,anno_type,relative_annotations,iou_score,max_iou_score,num_of_annotations,avg_score
"[[[ 3  1  1]
  [ 3  1  1]
  [ 3  1  1]
  ...
  [ 6  7  3]
  [ 6  7  3]
  [ 7  8  4]]

 [[ 3  1  1]
  [ 3  1  1]
  [ 3  1  1]
  ...
  [ 8  9  5]
  [ 8  9  5]
  [ 9 10  6]]

 [[ 3  1  1]
  [ 3  1  1]
  [ 3  1  1]
  ...
  [ 8  9  5]
  [ 8  9  5]
  [ 8  9  5]]

 ...

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 2  6  7]
  [ 0  0  1]
  [ 0  2  3]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 6 10 11]
  [ 0  1  2]
  [ 0  4  5]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 9 14 15]
  [ 0  4  5]
  [ 0  8  8]]]",683,1024,[],[],"[[405.12, 242.602966, 593.92, 461.52085800000003]]",<class 'list'>,"[[0.395625, 0.355202, 0.58, 0.675726]]",[[]],[0],1,0.0
"[[[ 68  72  53]
  [ 69  73  54]
  [ 70  74  55]
  ...
  [178 161 148]
  [177 160 147]
  [177 160 147]]

 [[ 72  76  57]
  [ 73  77  58]
  [ 73  77  58]
  ...
  [178 161 148]
  [177 160 147]
  [177 160 147]]

 [[ 75  81  64]
  [ 76  82  65]
  [ 76  82  65]
  ...
  [177 160 147]
  [177 160 147]
  [176 159 146]]

 ...

 [[159 184 156]
  [159 184 156]
  [160 185 157]
  ...
  [ 78 118 107]
  [ 77 117 106]
  [ 76 116 105]]

 [[158 183 155]
  [158 183 155]
  [159 184 156]
  ...
  [ 78 118 107]
  [ 77 117 106]
  [ 76 116 105]]

 [[156 181 153]
  [157 182 154]
  [157 182 154]
  ...
  [ 76 118 107]
  [ 75 117 106]
  [ 74 116 105]]]",683,1024,"[[1.1051757335662842, 59.0074462890625, 910.8614501953125, 672.283203125], [458.243896484375, 337.03399658203125, 672.8873291015625, 482.36181640625]]","[[0.0010792731773108244, 0.08639450408354685, 0.8895131349563599, 0.9843092285871157], [0.44750380516052246, 0.4934611955813049, 0.6571165323257446, 0.7062398483254027]]","[[456.32, 339.578038, 833.92, 470.283065]]",<class 'list'>,"[[0.445625, 0.49718599999999996, 0.814375, 0.688555]]","[[0.4549796299423298, 0.8699198832466962]]",[0.8699198832466962],1,0.8699198832466962
"[[[ 28  34  87]
  [ 18  24  77]
  [ 20  25  74]
  ...
  [ 84  84 100]
  [ 91  94 109]
  [102 104 122]]

 [[ 74  82 129]
  [ 38  45  94]
  [ 19  23  74]
  ...
  [ 80  80  92]
  [ 87  89 100]
  [ 98  99 113]]

 [[116 126 166]
  [ 87  96 139]
  [ 51  58 107]
  ...
  [ 82  81  90]
  [ 89  88  97]
  [ 98  97 107]]

 ...

 [[  0   2   2]
  [  1   3   3]
  [  1   3   3]
  ...
  [  3   3   3]
  [  2   2   2]
  [  1   1   1]]

 [[  0   2   2]
  [  0   2   2]
  [  0   2   2]
  ...
  [  2   2   2]
  [  1   1   1]
  [  1   1   1]]

 [[  0   2   2]
  [  0   2   2]
  [  0   2   2]
  ...
  [  2   2   2]
  [  1   1   1]
  [  1   1   1]]]",682,1024,"[[512.5537109375, 68.5643081665039, 836.1204833984375, 437.4256286621094], [241.2487335205078, 218.4240264892578, 420.7701110839844, 374.2054748535156]]","[[0.5005407333374023, 0.1005341761972198, 0.8165239095687866, 0.6413865522904829], [0.2355944663286209, 0.3202698335619616, 0.4109083116054535, 0.5486883795506095]]","[[518.4, 72.84305599999999, 831.200256, 431.452978]]",<class 'list'>,"[[0.50625, 0.10680799999999999, 0.811719, 0.632629]]","[[0.9823331082504387, 0.4781034628715817]]",[0.9823331082504387],1,0.9823331082504387
"[[[ 23 108 124]
  [ 28 103 111]
  [ 76  99 101]
  ...
  [ 28  22  39]
  [ 33  18  46]
  [ 30  16  52]]

 [[ 64 106 113]
  [ 73  98 108]
  [ 66 102 108]
  ...
  [  3  40  38]
  [ 14  36  42]
  [ 39  27  45]]

 [[ 44 113 102]
  [ 65 103 105]
  [ 76 102 116]
  ...
  [ 52  42  35]
  [ 42  41  37]
  [ 17  44  40]]

 ...

 [[ 95 114 121]
  [104 105 119]
  [ 59  99 111]
  ...
  [123 134 142]
  [115 121 132]
  [ 80 117 125]]

 [[ 95 117 112]
  [ 77 115 120]
  [ 65 102 122]
  ...
  [147 120 140]
  [120 105 126]
  [ 66  99 114]]

 [[106 108 116]
  [ 89 113 119]
  [ 82 100 107]
  ...
  [130 136 141]
  [107 122 124]
  [110 109 113]]]",769,1024,"[[11.698046684265137, 135.7439422607422, 1023.3297119140625, 747.8766479492188], [0.85546875, 84.18896484375, 1000.2830200195312, 739.5935668945312], [358.48553466796875, 252.48526000976562, 668.1994018554688, 540.38427734375]]","[[0.011423873715102673, 0.17652008096325383, 0.9993454217910767, 0.9725314017545107], [0.000835418701171875, 0.10947849784622887, 0.9768388867378235, 0.9617601650123944], [0.35008352994918823, 0.32832933681373944, 0.6525384783744812, 0.7027103736589727]]","[[220.16, 152.51807699999998, 672.64, 537.659423]]",<class 'list'>,"[[0.215, 0.19833299999999998, 0.656875, 0.699167]]","[[0.6061107133091274, 0.5912423584703588, 0.8233097433564599]]",[0.8233097433564599],1,0.8233097433564599
"[[[200 215 241]
  [200 215 241]
  [202 215 241]
  ...
  [ 21  30  39]
  [ 20  31  39]
  [ 20  31  39]]

 [[198 215 241]
  [199 216 242]
  [201 216 242]
  ...
  [ 25  31  42]
  [ 21  30  40]
  [ 20  29  39]]

 [[198 215 241]
  [199 216 242]
  [201 216 242]
  ...
  [ 23  29  40]
  [ 22  28  39]
  [ 23  29  40]]

 ...

 [[179 193 215]
  [180 194 216]
  [179 193 216]
  ...
  [ 18  25  34]
  [ 20  24  35]
  [ 20  24  35]]

 [[179 193 215]
  [179 193 215]
  [179 193 216]
  ...
  [ 19  24  33]
  [ 19  23  34]
  [ 19  23  34]]

 [[179 193 215]
  [179 193 215]
  [179 193 216]
  ...
  [ 19  23  34]
  [ 21  23  34]
  [ 21  23  34]]]",683,1024,[],[],"[[66.56, 176.836896, 261.76, 615.725183]]",<class 'list'>,"[[0.065, 0.258912, 0.255625, 0.901501]]",[[]],[0],1,0.0
"[[[ 8  8  8]
  [10 10 10]
  [ 8  8  8]
  ...
  [16 14 13]
  [19 15 14]
  [18 14 13]]

 [[ 7  9  9]
  [ 7  9  9]
  [ 7  7  7]
  ...
  [14 15 13]
  [16 14 14]
  [17 15 15]]

 [[ 8 10 10]
  [ 7  9  9]
  [ 6  8  9]
  ...
  [15 13 12]
  [18 13 14]
  [19 14 15]]

 ...

 [[ 2  4  5]
  [ 1  3  4]
  [ 3  4  2]
  ...
  [12 13 17]
  [14 15 19]
  [18 17 21]]

 [[ 1  3  4]
  [ 1  3  4]
  [ 2  3  1]
  ...
  [ 9 12 16]
  [13 14 18]
  [16 15 19]]

 [[ 2  4  5]
  [ 0  2  3]
  [ 2  3  1]
  ...
  [ 8 11 15]
  [11 12 16]
  [14 13 17]]]",683,1024,"[[271.78387451171875, 156.423095703125, 929.9793701171875, 509.3816833496094], [5.819726467132568, 24.791431427001953, 1024.0, 668.30859375]]","[[0.26541393995285034, 0.22902356618319913, 0.9081829786300659, 0.7458004148603359], [0.005683326628059149, 0.03629784981991501, 1.0, 0.9784898883601757]]","[[231.04, 144.16012700000002, 568.96, 500.396535]]",<class 'list'>,"[[0.225625, 0.21106900000000003, 0.555625, 0.732645]]","[[0.7532705963299698, 0.5224671635590837]]",[0.7532705963299698],1,0.7532705963299698
"[[[ 42  66  48]
  [ 44  68  50]
  [ 48  70  51]
  ...
  [ 32  56  44]
  [ 32  56  44]
  [ 34  60  47]]

 [[ 43  67  49]
  [ 45  69  51]
  [ 50  72  53]
  ...
  [ 35  57  45]
  [ 33  57  45]
  [ 32  58  45]]

 [[ 41  65  47]
  [ 42  66  48]
  [ 47  69  51]
  ...
  [ 33  55  43]
  [ 33  57  45]
  [ 32  56  44]]

 ...

 [[ 22  21  23]
  [ 23  22  24]
  [ 19  18  20]
  ...
  [174 186 198]
  [172 183 197]
  [190 201 215]]

 [[ 25  22  24]
  [ 26  23  25]
  [ 24  23  25]
  ...
  [194 206 218]
  [190 203 217]
  [184 197 211]]

 [[ 26  23  25]
  [ 28  25  27]
  [ 25  24  26]
  ...
  [197 209 221]
  [197 210 224]
  [195 208 222]]]",682,1024,"[[0.0, 397.50762939453125, 115.3750991821289, 588.62744140625], [0.0, 397.1454162597656, 115.1751708984375, 671.2625122070312], [11.612695693969727, 23.619531631469727, 869.3859252929688, 656.3616943359375]]","[[0.0, 0.5828557615755591, 0.11267099529504776, 0.8630900900384897], [0.0, 0.5823246572723836, 0.11247575283050537, 0.9842558830015121], [0.011340523138642311, 0.03463274432766822, 0.8490096926689148, 0.9624071764456562]]","[[0.0, 14.714832, 1023.36, 681.3602840000001]]",<class 'list'>,"[[0.0, 0.021575999999999998, 0.999375, 0.9990620000000001]]","[[0.3602869738372237, 0.3944660107943227, 0.8960162175397647]]",[0.8960162175397647],1,0.8960162175397647
"[[[144 137 134]
  [144 137 134]
  [145 135 135]
  ...
  [238 242 243]
  [240 244 245]
  [241 245 246]]

 [[144 137 134]
  [144 137 134]
  [145 136 133]
  ...
  [239 243 244]
  [240 244 245]
  [241 245 246]]

 [[144 138 133]
  [142 138 133]
  [143 137 132]
  ...
  [239 243 244]
  [240 244 245]
  [241 245 246]]

 ...

 [[218 223 222]
  [218 223 222]
  [219 223 224]
  ...
  [111 114 119]
  [109 114 117]
  [109 114 117]]

 [[220 224 225]
  [220 224 225]
  [220 224 225]
  ...
  [111 115 120]
  [110 115 118]
  [109 113 118]]

 [[221 225 226]
  [221 225 226]
  [221 225 226]
  ...
  [112 116 121]
  [109 113 118]
  [108 112 117]]]",601,1024,"[[61.227928161621094, 44.159278869628906, 1024.0, 523.3123779296875], [0.39453125, 5.404833793640137, 982.6363525390625, 583.4356079101562]]","[[0.0597928985953331, 0.07347633755345907, 1.0, 0.870736069766535], [0.000385284423828125, 0.008993067876273107, 0.9596058130264282, 0.9707747219802932]]","[[105.812992, 61.466073, 1022.292992, 515.630955]]",<class 'list'>,"[[0.103333, 0.102273, 0.998333, 0.8579549999999999]]","[[0.9541049237164267, 0.8331787067552839]]",[0.9541049237164267],1,0.9541049237164267
"[[[148 145 161]
  [148 145 161]
  [150 147 163]
  ...
  [153 156 170]
  [151 154 169]
  [150 153 168]]

 [[141 138 154]
  [142 139 155]
  [145 142 158]
  ...
  [155 157 175]
  [155 157 175]
  [154 156 174]]

 [[129 126 142]
  [131 128 144]
  [135 132 148]
  ...
  [155 156 177]
  [154 156 180]
  [155 157 181]]

 ...

 [[155 181 197]
  [155 180 196]
  [151 176 192]
  ...
  [160 155 170]
  [164 159 174]
  [166 161 176]]

 [[143 172 187]
  [140 169 184]
  [137 163 179]
  ...
  [170 165 180]
  [177 171 188]
  [182 176 193]]

 [[124 155 170]
  [123 152 167]
  [118 147 162]
  ...
  [175 170 185]
  [187 179 196]
  [194 186 203]]]",768,1024,"[[184.97659301757812, 179.45791625976562, 829.5025634765625, 640.9743041992188]]","[[0.18064120411872864, 0.23366916179656982, 0.8100610971450806, 0.8346019585927328]]","[[0.0, 188.799744, 836.799488, 656.000256]]",<class 'list'>,"[[0.0, 0.245833, 0.817187, 0.854167]]",[[0.8797973624982748]],[0.8797973624982748],1,0.8797973624982748
"[[[ 69  62  59]
  [ 74  66  66]
  [ 78  68  68]
  ...
  [125 118 115]
  [125 120 117]
  [125 120 119]]

 [[ 78  72  67]
  [ 70  64  59]
  [ 73  64  61]
  ...
  [116 105 107]
  [128 122 123]
  [137 130 133]]

 [[ 82  75  66]
  [ 76  69  60]
  [ 75  65  58]
  ...
  [118 104 108]
  [129 120 123]
  [138 128 134]]

 ...

 [[122 113  99]
  [122 113 100]
  [130 121 108]
  ...
  [ 41  48  51]
  [ 39  47  47]
  [ 37  45  45]]

 [[126 121 100]
  [118 112  93]
  [129 122 107]
  ...
  [ 42  46  47]
  [ 40  45  44]
  [ 43  45  45]]

 [[124 119 110]
  [129 124 115]
  [137 129 122]
  ...
  [ 43  42  44]
  [ 45  45  45]
  [ 42  42  42]]]",768,1024,"[[5.029296875, 23.6126708984375, 1023.95703125, 752.5734252929688]]","[[0.0049114227294921875, 0.030745665232340496, 0.9999580383300781, 0.9799133141835531]]","[[247.04, 117.12, 851.2, 728.319744]]",<class 'list'>,"[[0.24125, 0.1525, 0.83125, 0.948333]]",[[0.7342785300133376]],[0.7342785300133376],1,0.7342785300133376
