"image","height","width","boxes","relative_boxes","annotations","anno_type","relative_annotations","iou_score","max_iou_score","num_of_annotations","avg_score"
"[[[130 130 130]
  [121 121 121]
  [116 116 116]
  ...
  [ 92  92  92]
  [105 105 105]
  [105 105 105]]

 [[142 142 142]
  [146 146 146]
  [152 152 152]
  ...
  [ 95  95  95]
  [103 103 103]
  [102 102 102]]

 [[131 131 131]
  [142 142 142]
  [155 155 155]
  ...
  [101 101 101]
  [102 102 102]
  [ 99  99  99]]

 ...

 [[111 111 111]
  [107 107 107]
  [102 102 102]
  ...
  [128 128 128]
  [131 131 131]
  [174 174 174]]

 [[113 113 113]
  [100 100 100]
  [108 108 108]
  ...
  [153 153 153]
  [136 136 136]
  [168 168 168]]

 [[153 153 153]
  [121 121 121]
  [123 123 123]
  ...
  [183 183 183]
  [153 153 153]
  [139 139 139]]]",765,1024,"[[32.074607849121094, 72.8830795288086, 979.81640625, 689.7106323242188]]","[[0.03132285922765732, 0.09527199938406353, 0.9568519592285156, 0.9015825259140114]]","[[31.36, 62.73612, 950.4, 677.29734]]","<class 'list'>","[[0.030625, 0.082008, 0.928125, 0.8853559999999999]]","[[0.9688727849526223]]","[0.9688727849526223]",1,0.9688727849526223
"[[[121 121 121]
  [112 112 112]
  [ 99  99  99]
  ...
  [142 142 142]
  [140 140 140]
  [139 139 139]]

 [[117 117 117]
  [109 109 109]
  [ 97  97  97]
  ...
  [142 142 142]
  [140 140 140]
  [139 139 139]]

 [[112 112 112]
  [104 104 104]
  [ 93  93  93]
  ...
  [141 141 141]
  [140 140 140]
  [140 140 140]]

 ...

 [[138 138 138]
  [139 139 139]
  [141 141 141]
  ...
  [121 121 121]
  [120 120 120]
  [118 118 118]]

 [[134 134 134]
  [136 136 136]
  [138 138 138]
  ...
  [119 119 119]
  [117 117 117]
  [115 115 115]]

 [[132 132 132]
  [134 134 134]
  [136 136 136]
  ...
  [118 118 118]
  [115 115 115]
  [113 113 113]]]",1024,1024,"[[27.025903701782227, 1.89453125, 824.1422729492188, 1023.2150268554688]]","[[0.026392484083771706, 0.001850128173828125, 0.8048264384269714, 0.9992334246635437]]","[[0.0, 0.0, 850.56, 1023.36]]","<class 'list'>","[[0.0, 0.0, 0.830625, 0.999375]]","[[0.9705222774408598]]","[0.9705222774408598]",1,0.9705222774408598
"[[[ 90  90  90]
  [ 95  95  95]
  [ 89  89  89]
  ...
  [ 88  88  88]
  [103 103 103]
  [117 117 117]]

 [[ 73  73  73]
  [ 80  80  80]
  [ 80  80  80]
  ...
  [121 121 121]
  [113 113 113]
  [106 106 106]]

 [[ 66  66  66]
  [ 74  74  74]
  [ 77  77  77]
  ...
  [113 113 113]
  [106 106 106]
  [ 98  98  98]]

 ...

 [[232 232 232]
  [237 237 237]
  [232 232 232]
  ...
  [216 216 216]
  [212 212 212]
  [206 206 206]]

 [[224 224 224]
  [229 229 229]
  [224 224 224]
  ...
  [214 214 214]
  [210 210 210]
  [204 204 204]]

 [[218 218 218]
  [223 223 223]
  [218 218 218]
  ...
  [211 211 211]
  [207 207 207]
  [202 202 202]]]",683,1024,"[[621.8738403320312, 280.09503173828125, 913.3509521484375, 568.3922119140625], [230.9336395263672, 183.6818389892578, 611.000732421875, 473.2552795410156]]","[[0.6072986721992493, 0.41009521484375, 0.8919442892074585, 0.8321994317921853], [0.22552113234996796, 0.26893387846157807, 0.5966804027557373, 0.6929067050380903]]","[[231.68, 182.603465, 613.76, 477.330942], [620.16, 278.06910700000003, 917.12, 567.030698]]","<class 'list'>","[[0.22625, 0.267355, 0.599375, 0.698874], [0.605625, 0.407129, 0.895625, 0.830206]]","[[0.5085812472385028, 0.9922525961603313], [0.9923892412125964, 0.5068751283718304]]","[0.9922525961603313, 0.9923892412125964]",2,0.9923209186864639
"[[[142 142 142]
  [139 139 139]
  [135 135 135]
  ...
  [114 114 114]
  [118 118 118]
  [128 128 128]]

 [[140 140 140]
  [139 139 139]
  [139 139 139]
  ...
  [116 116 116]
  [118 118 118]
  [124 124 124]]

 [[135 135 135]
  [137 137 137]
  [139 139 139]
  ...
  [121 121 121]
  [122 122 122]
  [122 122 122]]

 ...

 [[181 181 181]
  [183 183 183]
  [185 185 185]
  ...
  [205 205 205]
  [206 206 206]
  [207 207 207]]

 [[175 175 175]
  [175 175 175]
  [174 174 174]
  ...
  [209 209 209]
  [211 211 211]
  [212 212 212]]

 [[171 171 171]
  [167 167 167]
  [163 163 163]
  ...
  [211 211 211]
  [212 212 212]
  [213 213 213]]]",612,1024,"[[775.6643676757812, 450.2574768066406, 903.26123046875, 526.9896850585938], [891.0765380859375, 455.6732482910156, 961.9523315429688, 523.6710815429688], [255.947998046875, 437.7071228027344, 410.2501525878906, 510.23516845703125], [332.519775390625, 438.88128662109375, 411.1067810058594, 509.862060546875]]","[[0.7574847340583801, 0.7357148313833997, 0.8820910453796387, 0.8610942566316891], [0.8701919317245483, 0.74456413119447, 0.9394065737724304, 0.855671701867596], [0.24994921684265137, 0.715207716997932, 0.40063491463661194, 0.8337175955180249], [0.3247263431549072, 0.7171262853285846, 0.40147146582603455, 0.8331079420700572]]","[[254.348288, 433.747656, 415.545344, 512.971056], [774.276096, 450.91242, 959.256576, 530.1358200000001]]","<class 'list'>","[[0.248387, 0.708738, 0.405806, 0.8381879999999999], [0.756129, 0.736785, 0.936774, 0.8662350000000001]]","[[0.3846710220083812, 0.30676125842390634, 0.9845525970211949, 0.9192049455175734], [0.9473450047481027, 0.8867729423195938, 0.3694590357240248, 0.3871210201128704]]","[0.9845525970211949, 0.9473450047481027]",2,0.9659488008846489
"[[[19 19 19]
  [23 23 23]
  [31 31 31]
  ...
  [98 98 98]
  [84 84 84]
  [69 69 69]]

 [[19 19 19]
  [22 22 22]
  [27 27 27]
  ...
  [82 82 82]
  [70 70 70]
  [60 60 60]]

 [[19 19 19]
  [21 21 21]
  [25 25 25]
  ...
  [64 64 64]
  [55 55 55]
  [51 51 51]]

 ...

 [[27 27 27]
  [24 24 24]
  [25 25 25]
  ...
  [40 40 40]
  [43 43 43]
  [44 44 44]]

 [[28 28 28]
  [24 24 24]
  [24 24 24]
  ...
  [43 43 43]
  [44 44 44]
  [41 41 41]]

 [[29 29 29]
  [24 24 24]
  [23 23 23]
  ...
  [46 46 46]
  [45 45 45]
  [38 38 38]]]",768,1024,"[[61.342185974121094, 56.014915466308594, 1023.3484497070312, 762.2713623046875]]","[[0.05990447849035263, 0.07293608784675598, 0.9993637204170227, 0.9925408363342285]]","[[56.32, 62.079744000000005, 1023.36, 767.360256]]","<class 'list'>","[[0.055, 0.080833, 0.999375, 0.999167]]","[[0.9899614940673678]]","[0.9899614940673678]",1,0.9899614940673678
"[[[80 80 80]
  [75 75 75]
  [69 69 69]
  ...
  [15 15 15]
  [15 15 15]
  [15 15 15]]

 [[80 80 80]
  [75 75 75]
  [69 69 69]
  ...
  [15 15 15]
  [15 15 15]
  [15 15 15]]

 [[79 79 79]
  [75 75 75]
  [69 69 69]
  ...
  [15 15 15]
  [15 15 15]
  [15 15 15]]

 ...

 [[44 44 44]
  [47 47 47]
  [53 53 53]
  ...
  [41 41 41]
  [41 41 41]
  [42 42 42]]

 [[52 52 52]
  [54 54 54]
  [56 56 56]
  ...
  [46 46 46]
  [50 50 50]
  [52 52 52]]

 [[54 54 54]
  [56 56 56]
  [56 56 56]
  ...
  [45 45 45]
  [54 54 54]
  [59 59 59]]]",1024,678,"[[232.00936889648438, 173.01260375976562, 668.9807739257812, 967.5339965820312], [485.83740234375, 0.0, 678.0, 83.14947509765625]]","[[0.3421967092868501, 0.16895762085914612, 0.9866973066751936, 0.9448574185371399], [0.7165743397400443, 0.0, 1.0, 0.08120065927505493]]","[[235.60364400000003, 165.76, 677.359968, 905.6]]","<class 'list'>","[[0.34749800000000003, 0.161875, 0.9990559999999999, 0.884375]]","[[0.9521038102749599, 0.3861290094103476]]","[0.9521038102749599]",1,0.9521038102749599
"[[[194 194 194]
  [195 195 195]
  [197 197 197]
  ...
  [111 111 111]
  [134 134 134]
  [153 153 153]]

 [[191 191 191]
  [193 193 193]
  [195 195 195]
  ...
  [100 100 100]
  [122 122 122]
  [138 138 138]]

 [[189 189 189]
  [190 190 190]
  [192 192 192]
  ...
  [ 93  93  93]
  [110 110 110]
  [124 124 124]]

 ...

 [[228 228 228]
  [219 219 219]
  [233 233 233]
  ...
  [178 178 178]
  [173 173 173]
  [170 170 170]]

 [[211 211 211]
  [222 222 222]
  [240 240 240]
  ...
  [180 180 180]
  [191 191 191]
  [200 200 200]]

 [[190 190 190]
  [219 219 219]
  [228 228 228]
  ...
  [171 171 171]
  [194 194 194]
  [211 211 211]]]",1024,683,"[[111.5876235961914, 7.714257717132568, 409.45635986328125, 980.8587646484375]]","[[0.1633786582667517, 0.007533454801887274, 0.5994968665641014, 0.9578698873519897]]","[[112.765349, 19.84, 405.571547, 942.08]]","<class 'list'>","[[0.165103, 0.019375, 0.593809, 0.92]]","[[0.9694816291671878]]","[0.9694816291671878]",1,0.9694816291671878
"[[[180 180 180]
  [181 181 181]
  [181 181 181]
  ...
  [151 151 151]
  [151 151 151]
  [151 151 151]]

 [[179 179 179]
  [179 179 179]
  [180 180 180]
  ...
  [151 151 151]
  [151 151 151]
  [151 151 151]]

 [[178 178 178]
  [178 178 178]
  [179 179 179]
  ...
  [150 150 150]
  [151 151 151]
  [151 151 151]]

 ...

 [[201 201 201]
  [206 206 206]
  [203 203 203]
  ...
  [132 132 132]
  [125 125 125]
  [122 122 122]]

 [[187 187 187]
  [192 192 192]
  [191 191 191]
  ...
  [146 146 146]
  [137 137 137]
  [131 131 131]]

 [[186 186 186]
  [186 186 186]
  [183 183 183]
  ...
  [155 155 155]
  [145 145 145]
  [141 141 141]]]",577,1024,"[[5.921288967132568, 242.2122039794922, 167.1884765625, 345.46142578125], [179.898193359375, 258.19708251953125, 384.2265625, 346.6162109375], [765.6305541992188, 254.3917999267578, 907.1219482421875, 341.06036376953125], [890.521484375, 266.36566162109375, 1023.4148559570312, 338.8321838378906], [701.44775390625, 250.9088897705078, 906.2190551757812, 340.818359375], [702.8126220703125, 249.25830078125, 814.9853515625, 337.1112365722656]]","[[0.005782508756965399, 0.41977851642892927, 0.1632699966430664, 0.5987199753574524], [0.17568182945251465, 0.4474819454411287, 0.37522125244140625, 0.6007213361135182], [0.7476860880851746, 0.44088700160616606, 0.8858612775802612, 0.591092484869205], [0.8696498870849609, 0.46163892828612435, 0.9994285702705383, 0.5872308212095159], [0.6850075721740723, 0.43485076216725793, 0.8849795460700989, 0.5906730665077989], [0.6863404512405396, 0.43199012267114384, 0.7958841323852539, 0.5842482436261103]]","[[5.12, 241.69895300000002, 168.96, 346.84104699999995], [177.92, 255.162094, 393.6, 345.55895300000003], [700.16, 235.28790600000002, 1023.36, 340.43]]","<class 'list'>","[[0.005, 0.418889, 0.165, 0.601111], [0.17375, 0.442222, 0.384375, 0.598889], [0.68375, 0.40777800000000003, 0.999375, 0.59]]","[[0.9950651573025285, 0.7069720718497371, 0.21812916826238363, 0.1438774263577807, 0.2517696338543705, 0.2628482049100412], [0.7061785034545157, 0.9847914611423009, 0.36981332874524253, 0.276867713305796, 0.40482205973270974, 0.4236687256270913], [0.23789145668913428, 0.3676729772574825, 0.8402212046132299, 0.8175338591080356, 0.8907433411949701, 0.8219833634363661]]","[0.9950651573025285, 0.9847914611423009, 0.8907433411949701]",3,0.9568666532132665
"[[[ 30  30  30]
  [ 32  32  32]
  [ 34  34  34]
  ...
  [ 77  77  77]
  [ 78  78  78]
  [ 78  78  78]]

 [[ 30  30  30]
  [ 32  32  32]
  [ 34  34  34]
  ...
  [ 76  76  76]
  [ 77  77  77]
  [ 77  77  77]]

 [[ 31  31  31]
  [ 32  32  32]
  [ 33  33  33]
  ...
  [ 78  78  78]
  [ 78  78  78]
  [ 79  79  79]]

 ...

 [[250 250 250]
  [251 251 251]
  [252 252 252]
  ...
  [209 209 209]
  [205 205 205]
  [202 202 202]]

 [[251 251 251]
  [252 252 252]
  [253 253 253]
  ...
  [210 210 210]
  [207 207 207]
  [204 204 204]]

 [[252 252 252]
  [253 253 253]
  [254 254 254]
  ...
  [212 212 212]
  [209 209 209]
  [207 207 207]]]",768,1024,"[[0.2677246034145355, 3.0923829078674316, 643.7807006835938, 705.7171020507812]]","[[0.00026144980802200735, 0.004026540244619052, 0.628692090511322, 0.9189024766286215]]","[[0.0, 0.0, 639.36, 723.84], [711.04, 550.400256, 1023.36, 767.360256]]","<class 'list'>","[[0.0, 0.0, 0.624375, 0.9425], [0.694375, 0.716667, 0.999375, 0.999167]]","[[0.9830449745593671], [0.306181685527286]]","[0.9830449745593671, 0.306181685527286]",2,0.6446133300433265
"[[[ 50  50  50]
  [ 33  33  33]
  [ 17  17  17]
  ...
  [  8   8   8]
  [  8   8   8]
  [  7   7   7]]

 [[ 28  28  28]
  [ 26  26  26]
  [ 24  24  24]
  ...
  [  8   8   8]
  [  8   8   8]
  [  8   8   8]]

 [[ 20  20  20]
  [ 21  21  21]
  [ 23  23  23]
  ...
  [  9   9   9]
  [  8   8   8]
  [  8   8   8]]

 ...

 [[110 110 110]
  [109 109 109]
  [109 109 109]
  ...
  [ 55  55  55]
  [ 59  59  59]
  [ 62  62  62]]

 [[108 108 108]
  [108 108 108]
  [107 107 107]
  ...
  [ 61  61  61]
  [ 62  62  62]
  [ 63  63  63]]

 [[107 107 107]
  [106 106 106]
  [106 106 106]
  ...
  [ 67  67  67]
  [ 66  66  66]
  [ 65  65  65]]]",1024,678,"[[48.48627853393555, 541.9918823242188, 344.0879821777344, 821.8780517578125], [460.79144287109375, 430.88751220703125, 616.0972290039062, 548.5001831054688], [46.940040588378906, 428.1431579589844, 132.5778350830078, 550.4691162109375]]","[[0.07151368515329727, 0.5292889475822449, 0.5075043984922336, 0.8026152849197388], [0.6796333965650351, 0.42078858613967896, 0.9086979778818677, 0.5356447100639343], [0.06923309821294824, 0.4181085526943207, 0.19554252962095547, 0.5375674962997437]]","[[49.29738, 542.08, 347.00311200000004, 828.8], [51.218154, 427.52, 129.96582, 553.6], [459.042612, 428.8, 623.5810080000001, 551.68]]","<class 'list'>","[[0.07271, 0.529375, 0.511804, 0.809375], [0.075543, 0.4175, 0.19169, 0.540625], [0.677054, 0.41875, 0.9197360000000001, 0.53875]]","[[0.9908612160312834, 0.352601907199058, 0.5743826529902255], [0.5779061843186126, 0.2780750015425344, 0.9877716158672311], [0.35193699147011503, 0.9844994932471748, 0.27989157774634976]]","[0.9908612160312834, 0.9877716158672311, 0.9844994932471748]",3,0.9877107750485631
